No,Area Cell,Area Reality,Scoring,Storage,Scoring,Perimeter,Peri-Efficiency,Scoring,Total Score
96,93,28.13,9.02,4,4.18,50,0.0372,2.98,16.17
97,79,23.90,9.88,3,3.96,42,0.0448,3.58,17.42
98,82,24.81,10.00,8,4.53,46,0.0388,3.10,17.62
99,81,24.50,9.98,5,4.31,46,0.0383,3.06,17.35
100,75,22.69,9.47,4,4.18,40,0.0469,3.75,17.39
101,81,24.50,9.98,8,4.53,48,0.0352,2.81,17.31
102,75,22.69,9.47,2,3.56,40,0.0469,3.75,16.78
103,75,22.69,9.47,2,3.56,40,0.0469,3.75,16.78
104,80,24.20,9.94,7,4.47,48,0.0347,2.78,17.19
105,81,24.50,9.98,3,3.96,40,0.0506,4.05,17.99
106,84,25.41,9.98,3,3.96,44,0.0434,3.47,17.42
107,77,23.29,9.71,8,4.53,40,0.0481,3.85,18.08
108,86,26.02,9.90,4,4.18,46,0.0406,3.25,17.32
109,79,23.90,9.88,5,4.31,44,0.0408,3.26,17.45
110,98,29.65,7.84,4,4.18,48,0.0425,3.40,15.42
111,80,24.20,9.94,2,3.56,42,0.0454,3.63,17.13
112,73,22.08,9.15,4,4.18,42,0.0414,3.31,16.63
113,87,26.32,9.83,6,4.40,48,0.0378,3.02,17.25
114,89,26.92,9.63,8,4.53,48,0.0386,3.09,17.25
115,80,24.20,9.94,5,4.31,48,0.0347,2.78,17.02
116,74,22.39,9.32,5,4.31,42,0.0420,3.36,16.98
117,82,24.81,10.00,8,4.53,46,0.0388,3.10,17.62
118,98,29.65,7.84,7,4.47,52,0.0362,2.90,15.21
119,77,23.29,9.71,6,4.40,44,0.0398,3.18,17.29
