No,Area Cell,Area Reality,Scoring,Storage,Scoring,Perimeter,Peri-Efficiency,Scoring,Total Score
96,35,10.59,9.99,3,2.16,24,0.0608,10.94,23.08
97,45,13.61,9.48,5,3.09,28,0.0574,10.33,22.89
98,35,10.59,9.99,1,1.00,24,0.0608,10.94,21.92
99,37,11.19,9.94,2,1.62,26,0.0547,9.85,21.42
100,56,16.94,8.07,5,3.09,30,0.0622,11.20,22.36
101,38,11.50,9.91,9,4.66,26,0.0562,10.12,24.68
102,42,12.71,9.71,4,2.64,26,0.0621,11.18,23.53
103,40,12.10,9.82,4,2.64,26,0.0592,10.65,23.11
104,45,13.61,9.48,3,2.16,28,0.0574,10.33,21.97
105,40,12.10,9.82,1,1.00,26,0.0592,10.65,21.47
106,43,13.01,9.64,5,3.09,28,0.0548,9.87,22.60
107,36,10.89,9.97,5,3.09,24,0.0625,11.25,24.30
108,38,11.50,9.91,8,4.29,26,0.0562,10.12,24.32
109,36,10.89,9.97,2,1.62,24,0.0625,11.25,22.84
110,30,9.08,9.97,3,2.16,22,0.0620,11.16,23.28
111,45,13.61,9.48,6,3.51,28,0.0574,10.33,23.31
112,30,9.08,9.97,2,1.62,22,0.0620,11.16,22.75
113,42,12.71,9.71,1,1.00,26,0.0621,11.18,21.89
114,45,13.61,9.48,6,3.51,28,0.0574,10.33,23.31
115,42,12.71,9.71,5,3.09,26,0.0621,11.18,23.98
116,42,12.71,9.71,6,3.51,26,0.0621,11.18,24.40
117,43,13.01,9.64,7,3.90,28,0.0548,9.87,23.42
118,36,10.89,9.97,6,3.51,24,0.0625,11.25,24.72
119,42,12.71,9.71,6,3.51,26,0.0621,11.18,24.40
120,56,16.94,8.07,9,4.66,30,0.0622,11.20,23.93
121,42,12.71,9.71,9,4.66,26,0.0621,11.18,25.55
122,36,10.89,9.97,5,3.09,24,0.0625,11.25,24.30
123,39,11.80,9.87,5,3.09,26,0.0577,10.38,23.34
124,43,13.01,9.64,6,3.51,28,0.0548,9.87,23.02
125,49,14.82,9.07,5,3.09,28,0.0625,11.25,23.40
126,40,12.10,9.82,7,3.90,26,0.0592,10.65,24.38
127,42,12.71,9.71,3,2.16,26,0.0621,11.18,23.05
128,42,12.71,9.71,8,4.29,26,0.0621,11.18,25.18
129,42,12.71,9.71,5,3.09,26,0.0621,11.18,23.98
130,43,13.01,9.64,5,3.09,28,0.0548,9.87,22.60
131,48,14.52,9.18,1,1.00,28,0.0612,11.02,21.20
132,42,12.71,9.71,3,2.16,26,0.0621,11.18,23.05
133,44,13.31,9.56,5,3.09,30,0.0489,8.80,21.45
134,49,14.82,9.07,9,4.66,28,0.0625,11.25,24.98
135,42,12.71,9.71,6,3.51,26,0.0621,11.18,24.40
136,42,12.71,9.71,8,4.29,26,0.0621,11.18,25.18
137,36,10.89,9.97,4,2.64,24,0.0625,11.25,23.86
138,35,10.59,9.99,7,3.90,24,0.0608,10.94,24.83
139,48,14.52,9.18,6,3.51,28,0.0612,11.02,23.71
140,48,14.52,9.18,7,3.90,28,0.0612,11.02,24.11
141,48,14.52,9.18,3,2.16,28,0.0612,11.02,22.36
142,42,12.71,9.71,9,4.66,26,0.0621,11.18,25.55
143,42,12.71,9.71,2,1.62,26,0.0621,11.18,22.52
144,38,11.50,9.91,4,2.64,26,0.0562,10.12,22.67
145,48,14.52,9.18,9,4.66,28,0.0612,11.02,24.86
146,55,16.64,8.24,12,5.69,30,0.0611,11.00,24.93
147,43,13.01,9.64,3,2.16,28,0.0548,9.87,21.67
148,38,11.50,9.91,6,3.51,26,0.0562,10.12,23.53
149,36,10.89,9.97,1,1.00,24,0.0625,11.25,22.22
150,44,13.31,9.56,4,2.64,28,0.0561,10.10,22.30
151,50,15.13,8.95,6,3.51,30,0.0556,10.00,22.45
152,40,12.10,9.82,9,4.66,28,0.0510,9.18,23.66
153,46,13.92,9.39,6,3.51,28,0.0587,10.56,23.45
154,38,11.50,9.91,4,2.64,26,0.0562,10.12,22.67
155,39,11.80,9.87,4,2.64,26,0.0577,10.38,22.89
156,42,12.71,9.71,7,3.90,26,0.0621,11.18,24.80
157,42,12.71,9.71,10,5.01,26,0.0621,11.18,25.90
158,48,14.52,9.18,6,3.51,28,0.0612,11.02,23.71
