0,0,0,9080,9086,0,0,0,0,0,0
9080,9050,9050,9050,9050,90,90,0,0,0,0
9086,9050,9050,9050,9050,9392,9092,0,0,0,0
0,9050,9050,9050,9050,9390,9090,0,0,0,0
9080,9050,9050,8016,8516,3020,90,0,0,0,0
9086,9050,9050,8013,8513,3020,90,0,0,0,0
0,9050,9050,8010,8510,3020,90,0,0,0,0
9080,9050,9050,9050,9050,9050,90,0,0,0,0
9086,9050,9050,9050,9050,9050,90,0,0,0,0
0,6420,6421,6422,6423,6424,6425,0,0,0,0
0,6320,6321,6322,6323,6324,6325,0,0,0,0
0,6220,6221,6222,6223,6224,6225,0,0,0,0
0,6120,6121,6122,6123,6124,6125,0,0,0,0
0,6020,6021,6022,6023,6024,6025,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
