0000,0000,0000,0000,0000,0000,0000,0000,0000
0000,0000,0000,0000,0000,0000,0000,0000,0000
0000,0000,0000,0000,0000,0000,0000,0000,0000
0000,0000,0000,0000,0000,0000,0000,0000,0000
0000,0000,0000,0090,0090,0090,0090,0090,0000
0000,0000,0090,9050,9050,9050,9050,9050,0000
0000,0000,0090,9050,8506,8504,8502,8500,0000
0000,0000,0090,9050,8206,8204,8202,8200,0000
0000,0000,0090,9050,8006,8004,8002,8000,0000
0000,0000,0090,9050,9050,9050,9092,9090,0000
0000,0000,0090,9050,9050,9050,9392,9390,0000
0000,0000,0000,5090,5090,5090,5090,0000,0000
